C#CCS(=O)(=O)[O-].[Na+]
C#CCC(NC(=O)OC(C)(C)C)C(=O)OC
C#Cc1ccc(Cl)c(Cl)c1
C#CC(C)(O)CCC=C(C)C
C#Cc1cccc(C(F)(F)F)c1
C#Cc1cccc(OC)c1
C#Cc1cccc(C#N)c1
C#Cc1cccnc1
C#Cc1ccsc1
C#CCOc1ccc(C=O)cc1
C#Cc1ccc(C(C)=O)cc1
C#Cc1ccc(F)c(C)c1
C#Cc1ccc(C(=O)OC)cc1
C#Cc1ccc(C(=O)[O-])cc1.[Na+]
C#Cc1ccc(C#N)cc1
C#Cc1ccc(CO)cc1
C#Cc1ccc(O)cc1
C#Cc1ccncc1
C#Cc1ccncc1.Cl
C#CCCCO
C#CCCc1ccccc1
C#C[C@@H](C)O
C#CCN[C@@H]1CCc2ccccc21
C#Cc1ncccc1Br
C#C[C@H](C)O
C#CCNC(C)c1ccccc1
C#CCOCC(C)O
C#Cc1cc(F)ccc1C=O
C#Cc1ccc(Cl)cc1C=O
C#Cc1ccc(N)c(C#N)n1
C#CCCC#CCCCC
C#CC1(O)CN(S(=O)(=O)c2ccc(C)cc2)C1
C#CC1(NC(=O)OC(C)(C)C)CC1
C#Cc1cccc(S(N)(=O)=O)c1
C#Cc1ccccc1Br
C#Cc1cccc(Br)c1
C#Cc1ccc(Br)cc1
C#Cc1ccccc1Cl
C#Cc1cccc(Cl)c1
C#Cc1ccc(F)cc1
C#Cc1ccccc1F
C#Cc1cccc(F)c1
C#Cc1ccc([N+](=O)[O-])cc1
C#Cc1ccc(OCCC)cc1
C#Cc1c(C)cc(C)cc1C
C#Cc1ccccc1[N+](=O)[O-]
C#Cc1cc(OC)cc(OC)c1
C#CC1=CCCCC1
C#Cc1ccnc(N)c1
C#Cc1cncc(NC(=O)OC(C)(C)C)c1
C#Cc1cccnc1OC
C#Cc1ccnc(NC(=O)OC(C)(C)C)c1
C#Cc1cnccc1N
C#CC(O)CCC
C#CCN1CCN(C)CC1
C#Cc1cn(C)nc1C
C#CC(O)CC
C#CC(O)c1ccccc1
C#CC(O)Cc1ccccc1
C#CCN1CCNCC1
C#CCCOC1CCCCO1
C#Cc1ccc(N)cc1
C#CCOc1cccnc1
C#Cc1ccc(C(F)(F)F)nc1
C#CC(=O)c1ccccc1
C#Cc1ccc(O)c(C=O)c1
C#Cc1ncc(C)cc1F
C#Cc1ncc(F)cc1C
C#Cc1cnc(OC)cn1
C#Cc1c(C)noc1C
Br.C#CCOC(=O)C1=CCCN(C)C1
C#Cc1ccc(C(N)=O)cc1
C#Cc1ccc(CSC(C)=O)cc1
C#Cc1ccccc1C(F)(F)F
C#Cc1ccc(C(F)(F)F)cc1
C#Cc1ccccc1C=O
C#Cc1cccc(C=O)c1
C#Cc1ccc(C=O)cc1
C#Cc1ccccc1N
C#Cc1ccccc1C(=O)O
C#Cc1ccccn1
C#Cc1cccs1
C#Cc1cccc(CO)c1
C#Cc1cncc(N)c1
C#Cc1ccc(C)cc1
C#Cc1cc([N+](=O)[O-])ccn1
C#Cc1cccc(NC(=O)OC(C)(C)C)n1
C#Cc1c[nH]c2ccc([N+](=O)[O-])cc12
C#Cc1ccc(OC)cc1
C#Cc1ccccc1OC
C#CS(=O)(=O)c1ccc(C)cc1
C#CCn1c2ccccc2c2ccccc21
C#Cc1cccc2ccccc12
C#CC(C)(C)OC1CCCCO1
C#Cc1ccc(C(=O)O)cc1C
C#Cc1ccc(C(=O)O)c(Cl)c1
C#Cc1cc(F)ccn1
C#Cc1ccc([N+](=O)[O-])cc1Cl
C#Cc1ccnc(OC)c1
C#CCCI
C#Cc1ccc(F)c(N)c1
C#Cc1ccccc1CO
C#Cc1ncccc1F
C#Cc1cc[nH]c(=O)c1
C#CCC1CCN(C(=O)OC(C)(C)C)CC1
C#Cc1ccc(=O)[nH]c1
C#Cc1cncc(C)c1
C#C[C@@H](C)N.Cl
C#CCCC(=O)OC(C)(C)C
C#CC1CCC(=O)CC1
C#CCOc1cccc2ccccc12
C#CCN1C(=O)C=CC1=O
C#CC(=O)NC
C#Cc1cnc(N)c(-c2ccccc2)n1
C#CCNC(=O)C=C
C#Cc1ccc(C#N)cn1
C#CCOCCN
C#CCOCC(=O)O
C#CCCC(=O)OCC
C#CC1CCC2(CC1)OCCO2
C#Cc1ccc(C#Cc2ccccc2)cc1
C#Cc1cncc(C(=O)O)c1
C#CCCCN
C#CC(=O)c1ccccc1Cl
C#CN(C)S(=O)(=O)c1ccc(C)cc1
C#CC1CCC(C(=O)OC)C1
C#CC(N)c1ccccc1.Cl
C#CC1(C(=O)OC)CC1
C#Cc1ccc(CBr)cc1
C#Cc1ccc(CCl)cc1
C#Cc1cnc(OC)nc1
C#CCOS(C)(=O)=O
C#CC1CCC(CO)C1
C#Cc1cnn(CCC)c1
C#CCCCN(C)C
C#Cc1ccc(N2CCOCC2)cc1
C#CCCCC(=O)OC(C)(C)C
C#CCOCCN.Cl
C#CCc1ccc(CO)cc1
C#CCCS(=O)(=O)Cl
C#Cc1ccc(Cl)c(F)c1
C#CCCN1CCCCC1
C#Cc1ccc(C)s1
C#Cc1cccc(S(C)(=O)=O)c1
C#Cc1ccc(C(F)F)cc1
C#CCCCC(=O)Cl
C#CCCCS(=O)(=O)Cl
C#Cc1cc(C)c(C)s1
C#CCOC1CCN(C(=O)OC(C)(C)C)CC1
C#CCNN.Cl
C#CCNC(=O)CN.Cl
C#Cc1ccc(CC)s1
C#CCNC(=O)Cc1ccc(O)c(O)c1
C#Cc1cscn1
C#CCCN1CCNCC1
C#Cc1cc(C)sc1C
C#Cc1ccc(C)nn1
C#CC(N)Cc1cccc(F)c1.Cl
C#CCOc1ccccc1C#N
C#Cc1cc(F)c(F)cc1F
C#CCOC1CCNCC1.Cl
C#Cc1ccc(C2CC2)cn1
C#Cc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O
C#CCc1cccc(OC)c1
C#C[C@@H](C)NC(=O)OCc1ccccc1
C#CC(C)NC(=O)OCc1ccccc1
C#Cc1cccc(=O)[nH]1.O=C(O)C(F)(F)F
C#CCCl
C#Cc1c(OC)cc(OC)cc1OC
C#Cc1cnc(C)nc1
C#CN(C)S(C)(=O)=O
C#CCc1ccc(C#N)cc1
C#Cc1nc(C)cc(C)n1
