[N-]=[N+]=NCCCCCC(=O)O
[N-]=[N+]=NCCOCCOCCOCCOCCC(=O)ON1C(=O)CCC1=O
[N-]=[N+]=NCCOCCOCCOCCOCCC(=O)O
[N-]=[N+]=NCCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
[N-]=[N+]=[N]CC(=O)N1CCCC1
[N-]=[N+]=[N]Cc1ccccc1-c1ccccc1
[N-]=[N+]=[N][C@H]1CCN(Cc2ccccc2)C1
CC(C)(C)OC(=O)N1CC[C@@H]([N]=[N+]=[N-])C1
CCC([N]=[N+]=[N-])c1ccccn1
[N-]=[N+]=[N]CC[C@H](O)C(=O)O
CN1CCC(C[N]=[N+]=[N-])CC1
[N-]=[N+]=[N]C1(C(=O)O)CCC1
[N-]=[N+]=[N][C@H](Cc1cccc2ccccc12)C(=O)O
[N-]=[N+]=[N]C(CC(=O)O)c1cccc(Cl)c1Cl
[N-]=[N+]=[N]CCCN1CCc2ccccc21
Cc1nccn1CCC[N]=[N+]=[N-]
[N-]=[N+]=[N][C@@H](Cc1cccnc1)C(=O)O
[N-]=[N+]=[N]CCCc1ccc(Cl)cc1
[N-]=[N+]=[N]CCCOc1ccc(F)cc1
COc1ccc(CCC[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1cncc(Br)c1
[N-]=[N+]=[N]Cc1cccc(O)c1
[N-]=[N+]=[N]CCCOCc1ccccc1
COC(OC)[SiH2]CCC[N]=[N+]=[N-]
[N-]=[N+]=[N]CCc1cccc(C(F)(F)F)c1
[N-]=[N+]=[N]Cc1cccc(SC(F)(F)F)c1
[N-]=[N+]=[N]CCc1cccnc1
[N-]=[N+]=[N]C1CC(F)(F)C1
COc1ccc(C(C[N]=[N+]=[N-])C2(O)CCCCC2)cc1
COc1cc(C[N]=[N+]=[N-])cc(OC)c1OC
CCOc1ccc(C[N]=[N+]=[N-])cc1OCC
COc1ccc(C[N]=[N+]=[N-])cc1OC
CC1(C)CC([N]=[N+]=[N-])CC(C)(C)N1
[N-]=[N+]=[N]CC(CC(=O)O)c1ccccc1
[N-]=[N+]=[N]Cc1cc(Br)cc(Br)c1
CC(C)(C)OC(=O)N1CCC(C[N]=[N+]=[N-])CC1
Cc1noc(C)c1C[N]=[N+]=[N-]
CO[Si](CCCNCCNCC[N]=[N+]=[N-])(OC)OC
CC(C)(C)OC(=O)N1CCCC([N]=[N+]=[N-])(C(=O)O)C1
[N-]=[N+]=[N]CC(O)C(F)(F)F
[N-]=[N+]=[N]CCC(O)(P(=O)([O-])O)P(=O)([O-])O
[N-]=[N+]=[N]CCCO
[N-]=[N+]=[N]CCC(=O)N1CCCC1
CC(C)(C[N]=[N+]=[N-])C(=O)O
CC(C)(C[N]=[N+]=[N-])C(N)=O
[N-]=[N+]=[N]C(CC(=O)O)c1cccc(F)c1F
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(Cl)cc1Cl
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(F)cc1F
[N-]=[N+]=[N]C(CC(=O)O)c1ccccc1F
Cc1ccccc1C(CC(=O)O)[N]=[N+]=[N-]
[N-]=[N+]=[N]C(CC(=O)O)c1ccccc1C(F)(F)F
COc1ccc(C(CC(=O)O)[N]=[N+]=[N-])cc1OC
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(Cl)c(Cl)c1
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(F)c(F)c1
COc1cccc(C(CC(=O)O)[N]=[N+]=[N-])c1
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(O)cc1
