[N-]=[N+]=[N]Cc1ccccc1-c1ccccc1
[N-]=[N+]=[N][C@H]1CCN(Cc2ccccc2)C1
[N-]=[N+]=[N]CC[C@H](O)C(=O)O
[N-]=[N+]=[N]C1(C(=O)O)CCC1
[N-]=[N+]=[N][C@H](Cc1cccc2ccccc12)C(=O)O
[N-]=[N+]=[N]CCCN1CCc2ccccc21
[N-]=[N+]=[N]CCCOc1ccc(F)cc1
COc1ccc(CCC[N]=[N+]=[N-])cc1
[N-]=[N+]=[N]Cc1cncc(Br)c1
[N-]=[N+]=[N]Cc1cccc(O)c1
[N-]=[N+]=[N]CCc1cccc(C(F)(F)F)c1
[N-]=[N+]=[N]Cc1cccc(SC(F)(F)F)c1
CC1(C)CC([N]=[N+]=[N-])CC(C)(C)N1
[N-]=[N+]=[N]CC(CC(=O)O)c1ccccc1
CC(C)(C)OC(=O)N1CCC(C[N]=[N+]=[N-])CC1
Cc1noc(C)c1C[N]=[N+]=[N-]
[N-]=[N+]=[N]CC(O)C(F)(F)F
CC(C)(C[N]=[N+]=[N-])C(N)=O
[N-]=[N+]=[N]C(CC(=O)O)c1ccccc1C(F)(F)F
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(Cl)c(Cl)c1
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(F)c(F)c1
[N-]=[N+]=[N]C(CC(=O)O)c1ccc(O)cc1
[N-]=[N+]=[N]C(CC(=O)O)c1cccc(C(F)(F)F)c1
[N-]=[N+]=[N]C(CC(=O)O)c1cccc2ccccc12
COc1ccc2[nH]cc(CC[N]=[N+]=[N-])c2c1
Cc1cccc(CC(CC(=O)O)[N]=[N+]=[N-])c1
CC(C)(C)OC(=O)N1CCC([N]=[N+]=[N-])(C(=O)O)C1
[N-]=[N+]=[N]Cc1cc(Br)no1
[N-]=[N+]=[N]CC(=O)NCC(=O)O
[N-]=[N+]=[N][C@@H](CC(=O)OCc1ccccc1)C(=O)O
[N-]=[N+]=[N][C@H](CCC(=O)O)C(=O)O
[N-]=[N+]=[N][C@H](Cc1c[nH]c2ccccc12)C(=O)O
[N-]=[N+]=[N][C@@H](CCC(=O)OCc1ccccc1)C(=O)O
