C#CCS(=O)(=O)[O-].[Na+]
C#CCC(NC(=O)OC(C)(C)C)C(=O)OC
C#Cc1ccc(Cl)c(Cl)c1
C#CC(C)(O)CC(C)C
C#CC(C)(O)CCC=C(C)C
C#CC(C)(N)CC.Cl
C#Cc1cccc(C(F)(F)F)c1
C#Cc1cccc(OC)c1
C#Cc1cccc(C#N)c1
C#Cc1cccnc1
C#Cc1ccsc1
C#CCOc1ccc(C=O)cc1
C#CCCO[Si](C)(C)C(C)(C)C
C#Cc1ccc(C(C)=O)cc1
C#Cc1ccc(OCc2ccccc2)cc1
C#CCCBr
C#Cc1ccc(F)c(C)c1
C#Cc1ccc(C(=O)OC)cc1
C#Cc1ccc(C(=O)[O-])cc1.[Na+]
C#Cc1ccc(C#N)cc1
C#Cc1ccc(CO)cc1
C#Cc1ccc(O)cc1
C#Cc1ccncc1
C#Cc1ccncc1.Cl
C#CCCCO
C#CCCc1ccccc1
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
C#CCN(C)c1c(C#N)cnn1-c1nn2c(c1Cl)CCCC2
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
C#C[C@@H](C)O
C#CCN[C@@H]1CCc2ccccc21
C#Cc1ncccc1Br
C#C[C@H](C)O
C#C[Si](CC)(CC)CC
C#CCNC(C)c1ccccc1
C#CCOCC(C)O
C#Cc1cc(F)ccc1C=O
C#Cc1ccc(Cl)cc1C=O
C#Cc1ccc(N)c(C#N)n1
C#CCCC#CCCCC
C#CC1(O)CN(S(=O)(=O)c2ccc(C)cc2)C1
C#CCCCCCCCCCO
C#CCCCCCCCCCCO
C#CC1(NC(=O)OC(C)(C)C)CC1
C#Cc1cccc(S(N)(=O)=O)c1
C#CC(O)(c1ccc(OC)cc1)c1ccc(OC)cc1
C#Cc1ccccc1Br
C#Cc1cccc(Br)c1
C#Cc1ccc(Br)cc1
C#Cc1ccccc1Cl
C#Cc1cccc(Cl)c1
C#Cc1ccc(F)cc1
C#Cc1ccccc1F
C#Cc1cccc(F)c1
C#Cc1ccc([N+](=O)[O-])cc1
C#CCCCCCCCC
C#Cc1ccc(OCCCCC)cc1
C#Cc1ccc(OCCC)cc1
C#CCNC(=O)OCC1c2ccccc2-c2ccccc21
C#Cc1ccc(N(c2ccccc2)c2ccccc2)cc1
C#Cc1c(C)cc(C)cc1C
C#Cc1ccccc1[N+](=O)[O-]
C#Cc1cc(OC)cc(OC)c1
C#CC1=CCCCC1
C#Cc1ccnc(N)c1
C#Cc1cncc(NC(=O)OC(C)(C)C)c1
C#Cc1cccnc1OC
C#Cc1ccnc(NC(=O)OC(C)(C)C)c1
C#Cc1cnccc1N
C#CC(O)CCCC
C#CC(O)CCC
C#CCN1CCN(C)CC1
C#CCCCCCCCCCCCCCCCC
C#Cc1cn(C)nc1C
C#CC(O)CCCCC
C#CC(O)CC
C#CC(O)c1ccccc1
C#CC(O)Cc1ccccc1
C#CCN1CCNCC1
C#CCCCCCCCCCCCC
C#CCCOC1CCCCO1
C#Cc1ccc(N)cc1
C#CCCC(=O)CC(=O)OC
C#CCCC(=O)CCO
C#CCCC1(CCO)N=N1
C#CCCC1(CCI)N=N1
C#CCOc1cccnc1
C#Cc1ccc(C(F)(F)F)nc1
C#CC(=O)c1ccccc1
C#Cc1ccc(O)c(C=O)c1
C#Cc1ncc(C)cc1F
C#Cc1ncc(F)cc1C
C#Cc1cnc(OC)cn1
C#Cc1c(C)noc1C
C#CCCCCCOS(=O)(=O)c1ccc(C)cc1
Br.C#CCOC(=O)C1=CCCN(C)C1
C#Cc1ccc(C(N)=O)cc1
C#Cc1ccc(CSC(C)=O)cc1
C#Cc1ccccc1C(F)(F)F
C#Cc1ccc(C(F)(F)F)cc1
C#Cc1ccccc1C=O
C#Cc1cccc(C=O)c1
C#Cc1ccc(C=O)cc1
C#CCN(C)C(=O)OC(C)(C)C
C#Cc1ccccc1N
C#Cc1ccccc1C(=O)O
C#Cc1ccccn1
C#Cc1cccs1
C#Cc1cccc(CO)c1
C#Cc1cncc(N)c1
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O
C#CCOCCOCCOCCC(=O)O
C#Cc1ccc(C)cc1
C#Cc1cc([N+](=O)[O-])ccn1
C#Cc1cccc(NC(=O)OC(C)(C)C)n1
C#Cc1cn([C@H]2C[C@H](OP(OCCC#N)N(C(C)C)C(C)C)[C@@H](COC(c3ccccc3)(c3ccc(OC)cc3)c3ccc(OC)cc3)O2)c(=O)[nH]c1=O
C#CCOCCOCCOCCOCCOCCC(=O)ON1C(=O)CCC1=O
C#CCOCCOCCOCCOCCC(=O)O
C#Cc1c[nH]c2ccc([N+](=O)[O-])cc12
C#CCOCCOCCOCCOCCO
C#CCOCCOCCOCCOCCOCCC(=O)OC(C)(C)C
C#CCOCCOCCOCCOCCOCCC(=O)O
C#CCOCCOCCOCCC(=O)ON1C(=O)CCC1=O
C#Cc1ccc(OC)cc1
